               d2r2d(0,1,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2d(0,1,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
               d2r2d(0,1,0,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,0,1,0,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,0,1,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,0,1,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,0,1,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,0,1,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,0,0,1,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,1,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,0,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,1,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2b(0,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2c(0,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,1,0,0,1,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,1,0,0,1,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2b(0,0,0,1,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2b(0,1,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2c(0,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2b(0,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2c(0,1,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2c(0,1,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2b(0,0,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2c(0,0,0,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,1,0,0,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,1,0,0,0,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
           d1r2c(0,1,0,0,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
             d1r2a(0,0,0,1,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
                 d2r2b(0,1,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,1,0,0,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,1,0,1,0,1,1,_,_) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,1,0,1,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,1,0,1,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,0,1,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,1,0,1,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,1,0,1,0,1,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,1,0,0,0,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,1,0,1,0,0,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,1,0,1,0,0,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,1,0,1,0,0,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,1,0,0,0,1,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,1,0,1,0,0,1,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,0,0,0,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,0,0,0,1,1,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,0,0,0,1,1,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,1,0,1,0,0,0,0,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,0,1,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,0,1,1,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,0,1,1,0,1,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,1,0,0,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,1,0,0,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,0,1,1,0,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,0,0,1,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,0,0,1,1,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,1,1,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,0,0,1,1,0,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,0,1,0,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,0,0,1,1,0,0,1,0) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,1,0,1,0,1,0,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(1,0,0,0,1,0,1,1,1,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
         d1r2d(0,1,1,0,1,0,1,0,0,1) =          0 /          1 == 0.0000000000 =/= 0.0000000000
